query,title,year,venue,authors,doi,url,type,source,score,tags
force tactile proprioceptive manipulation,"Sensory Systems: Auditory, Tactile, Proprioceptive",2014,Encyclopedia of Sport and Exercise Psychology,,10.4135/9781483332222.n272,https://doi.org/10.4135/9781483332222.n272,reference-entry,Crossref,1,tactile
force tactile proprioceptive manipulation,Effector movement triggers gaze-dependent spatial coding of tactile and proprioceptive-tactile reach targets,2014,Neuropsychologia,Stefanie Mueller; Katja Fiehler,10.1016/j.neuropsychologia.2014.07.025,https://doi.org/10.1016/j.neuropsychologia.2014.07.025,journal-article,Crossref,1,tactile
force tactile proprioceptive manipulation,Correction: Tactile and Proprioceptive Temporal Discrimination Are Impaired in Functional Tremor,2014,PLoS ONE,,10.1371/journal.pone.0111287,https://doi.org/10.1371/journal.pone.0111287,journal-article,Crossref,1,tactile
slip detection grasp control robot,Robot Grasp Control,2014,Encyclopedia of Systems and Control,Domenico Prattichizzo,10.1007/978-1-4471-5102-9_171-1,https://doi.org/10.1007/978-1-4471-5102-9_171-1,book-chapter,Crossref,1,manipulation
manipulation contact dynamics estimation,Non-contact fiber-optical trapping of motile bacteria: dynamics observation and energy estimation,2014,Scientific Reports,Hongbao Xin; Qingyuan Liu; Baojun Li,10.1038/srep06576,https://doi.org/10.1038/srep06576,journal-article,Crossref,1,contact
manipulation contact dynamics estimation,Estimation of contact angles on fibers,2014,Apparent and Microscopic Contact Angles,,10.1201/b11962-24,https://doi.org/10.1201/b11962-24,book-chapter,Crossref,1,contact
robot tactile feedback manipulation,Electro-tactile feedback system for achieving embodiment in a tele-operated robot,2014,2014 13th International Conference on Control Automation Robotics &amp; Vision (ICARCV),Daniel S Pamungkas; Koren Ward,10.1109/icarcv.2014.7064573,https://doi.org/10.1109/icarcv.2014.7064573,proceedings-article,Crossref,1,tactile
force control contact estimation robot,Adaptive position/force control of robot manipulators with force estimation,2014,2014 Second RSI/ISM International Conference on Robotics and Mechatronics (ICRoM),Mohamadreza Homayounzade; Mehdi Keshmiri,10.1109/icrom.2014.6990991,https://doi.org/10.1109/icrom.2014.6990991,proceedings-article,Crossref,1,contact
robot compliance estimation contact,Contact Estimation in Robot Interaction,2014,International Journal of Advanced Robotic Systems,Filippo D'Ippolito; Francesco Alonge; Elisa Cucco,10.5772/58688,https://doi.org/10.5772/58688,journal-article,Crossref,1,contact
haptic sensing manipulation robot,Robot arm manipulation using depth-sensing cameras and inverse kinematics,2014,2014 Oceans - St. John's,Akhilesh Kumar Mishra; Oscar Meruvia-Pastor,10.1109/oceans.2014.7003029,https://doi.org/10.1109/oceans.2014.7003029,proceedings-article,Crossref,1,manipulation
proprioceptive tactile sensing robot hand,Dynamic Tactile Sensing,2014,Springer Tracts in Advanced Robotics,Mark R. Cutkosky; John Ulmen,10.1007/978-3-319-03017-3_18,https://doi.org/10.1007/978-3-319-03017-3_18,book-chapter,Crossref,1,tactile
proprioceptive tactile sensing robot hand,Proprioceptive Mechanisms and the Human Hand,2014,Springer Tracts in Advanced Robotics,Lee D. Walsh; Janet L. Taylor; Simon C. Gandevia,10.1007/978-3-319-03017-3_6,https://doi.org/10.1007/978-3-319-03017-3_6,book-chapter,Crossref,1,manipulation
proprioceptive tactile sensing robot hand,Multimodal Tactile Sensor,2014,Springer Tracts in Advanced Robotics,Nicholas Wettels; Jeremy A. Fishel; Gerald E. Loeb,10.1007/978-3-319-03017-3_19,https://doi.org/10.1007/978-3-319-03017-3_19,book-chapter,Crossref,1,tactile
tactile object recognition manipulation,"Object shape recognition from EEG signals with tactile, visuo-tactile and audio-tactile stimuli",2014,2014 International Conference on Communication and Signal Processing,Anwesha Khasnobish; Shreyasi Datta; Amit Konar; D.N. Tibarewala; R. Janarthanan,10.1109/iccsp.2014.6949812,https://doi.org/10.1109/iccsp.2014.6949812,proceedings-article,Crossref,1,tactile
tactile object recognition manipulation,Object Recognition and Localization: The Role of Tactile Sensors,2014,Sensors,Achint Aggarwal; Frank Kirchner,10.3390/s140203227,https://doi.org/10.3390/s140203227,journal-article,Crossref,1,tactile
tactile object recognition manipulation,Object manifold learning with action features for active tactile object recognition,2014,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,Daisuke Tanaka; Takamitsu Matsubara; Kentaro Ichien; Kenji Sugimoto,10.1109/iros.2014.6942622,https://doi.org/10.1109/iros.2014.6942622,proceedings-article,Crossref,1,tactile
tactile object recognition manipulation,Rotation and translation invariant object recognition with a tactile sensor,2014,IEEE SENSORS 2014 Proceedings,Shan Luo; Wenxuan Mou; Min Li; Kaspar Althoefer; Hongbin Liu,10.1109/icsens.2014.6985179,https://doi.org/10.1109/icsens.2014.6985179,proceedings-article,Crossref,1,tactile
force estimation robot hand,Visual-Servoing Control of Robot Hand with Estimation of Full Articulation of Human Hand,2014,Key Engineering Materials,Motomasa Tomida; Kiyoshi Hoshino,10.4028/www.scientific.net/kem.625.728,https://doi.org/10.4028/www.scientific.net/kem.625.728,journal-article,Crossref,1,manipulation
tactile servoing grasping,Toward image based visual servoing for aerial grasping and perching,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),Justin Thomas; Giuseppe Loianno; Koushil Sreenath; Vijay Kumar,10.1109/icra.2014.6907149,https://doi.org/10.1109/icra.2014.6907149,proceedings-article,Crossref,1,manipulation
tactile servoing grasping,Grasping objects with a cable-driven parallel robot designed for transfer operation by visual servoing,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),Remy Ramadour; Francois Chaumette; Jean-Pierre Merlet,10.1109/icra.2014.6907510,https://doi.org/10.1109/icra.2014.6907510,proceedings-article,Crossref,1,manipulation
micro slip tactile manipulation,Introduction of Micro-Nanorobotic Manipulation Systems,2013,Micro-Nanorobotic Manipulation Systems and Their Applications,Toshio Fukuda; Fumihito Arai; Masahiro Nakajima,10.1007/978-3-642-36391-7_1,https://doi.org/10.1007/978-3-642-36391-7_1,book-chapter,Crossref,1,manipulation
micro slip tactile manipulation,Related Technologies on Micro-Nanorobotic Manipulation Systems,2013,Micro-Nanorobotic Manipulation Systems and Their Applications,Toshio Fukuda; Fumihito Arai; Masahiro Nakajima,10.1007/978-3-642-36391-7_3,https://doi.org/10.1007/978-3-642-36391-7_3,book-chapter,Crossref,1,manipulation
force tactile proprioceptive manipulation,"Treatment of the Tactile, Vestibular and Proprioceptive Perception",2013,Occupational Therapy in Epidermolysis Bullosa,Florian Prinz,10.1007/978-3-7091-1139-0_3,https://doi.org/10.1007/978-3-7091-1139-0_3,book-chapter,Crossref,1,tactile
latent state manipulation tactile sensing,Tactile Sensing Technologies,2013,Robotic Tactile Sensing,Ravinder S. Dahiya; Maurizio Valle,10.1007/978-94-007-0579-1_5,https://doi.org/10.1007/978-94-007-0579-1_5,book-chapter,Crossref,1,tactile
latent state manipulation tactile sensing,Human Tactile Sensing,2013,Robotic Tactile Sensing,Ravinder S. Dahiya; Maurizio Valle,10.1007/978-94-007-0579-1_3,https://doi.org/10.1007/978-94-007-0579-1_3,book-chapter,Crossref,1,tactile
latent state manipulation tactile sensing,Integrated Tactile Sensing on Silicon,2013,Robotic Tactile Sensing,Ravinder S. Dahiya; Maurizio Valle,10.1007/978-94-007-0579-1_6,https://doi.org/10.1007/978-94-007-0579-1_6,book-chapter,Crossref,1,tactile
latent state manipulation tactile sensing,Tactile Sensing: Definitions and Classification,2013,Robotic Tactile Sensing,Ravinder S. Dahiya; Maurizio Valle,10.1007/978-94-007-0579-1_2,https://doi.org/10.1007/978-94-007-0579-1_2,book-chapter,Crossref,1,tactile
latent state manipulation tactile sensing,POSFET II—The Tactile Sensing Chip,2013,Robotic Tactile Sensing,Ravinder S. Dahiya; Maurizio Valle,10.1007/978-94-007-0579-1_8,https://doi.org/10.1007/978-94-007-0579-1_8,book-chapter,Crossref,1,tactile
slip detection grasp control robot,Robot Grasp,2013,"Intelligent Systems, Control and Automation: Science and Engineering",Jadran Lenarčič; Tadej Bajd; Michael M. Stanišić,10.1007/978-94-007-4522-3_9,https://doi.org/10.1007/978-94-007-4522-3_9,book-chapter,Crossref,1,manipulation
slip detection grasp control robot,Wheeled robot slip compensation for trajectory tracking control problem with time-varying reference input,2013,9th International Workshop on Robot Motion and Control,J. G. Iossaqui; J. F. Camino,10.1109/romoco.2013.6614603,https://doi.org/10.1109/romoco.2013.6614603,proceedings-article,Crossref,1,slip
manipulation contact dynamics estimation,Estimation of wheel–rail contact conditions and adhesion using the multiple model approach,2013,Vehicle System Dynamics,I. Hussain; T. X. Mei; R. T. Ritchings,10.1080/00423114.2012.708759,https://doi.org/10.1080/00423114.2012.708759,journal-article,Crossref,1,contact
robot tactile feedback manipulation,Tele-operation of a robot arm with electro tactile feedback,2013,2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics,Daniel S. Pamungkas; Koren Ward,10.1109/aim.2013.6584175,https://doi.org/10.1109/aim.2013.6584175,proceedings-article,Crossref,1,tactile
robot compliance estimation contact,Visual Contact Angle Estimation and Traction Control for Mobile Robot in Rough-Terrain,2013,Journal of Intelligent &amp; Robotic Systems,He Xu; Xing Liu; Hu Fu; Bagus Bhirawa Putra; Long He,10.1007/s10846-013-9859-x,https://doi.org/10.1007/s10846-013-9859-x,journal-article,Crossref,1,contact
tactile object recognition manipulation,Object Recognition Using Tactile Sensors,2013,Springer Tracts in Advanced Robotics,Jürgen Sturm,10.1007/978-3-642-37160-8_6,https://doi.org/10.1007/978-3-642-37160-8_6,book-chapter,Crossref,1,tactile
tactile servoing grasping,A Control Framework for Tactile Servoing,2013,Robotics: Science and Systems IX,Qiang Li; Carsten Schürmann; Robert Haschke; Helge Ritter,10.15607/rss.2013.ix.045,https://doi.org/10.15607/rss.2013.ix.045,proceedings-article,Crossref,1,tactile
force tactile proprioceptive manipulation,Spatial gestures using a tactile-proprioceptive display,2012,"Proceedings of the Sixth International Conference on Tangible, Embedded and Embodied Interaction",Eelke Folmer; Tony Morelli,10.1145/2148131.2148161,https://doi.org/10.1145/2148131.2148161,proceedings-article,Crossref,1,tactile
latent state manipulation tactile sensing,Tactile Sensing Technologies,2012,Tactile Sensing and Displays,,10.1002/9781118357989.ch2,https://doi.org/10.1002/9781118357989.ch2,other,Crossref,1,tactile
latent state manipulation tactile sensing,Introduction to Tactile Sensing and Display,2012,Tactile Sensing and Displays,,10.1002/9781118357989.ch1,https://doi.org/10.1002/9781118357989.ch1,other,Crossref,1,tactile
slip detection grasp control robot,Grasp and transport control for a chopsticks-type robot using work control,2012,International Journal of Advanced Mechatronic Systems,Yojiro Yamasaki; Toru Tsumugiwa; Ryuichi Yokogawa,10.1504/ijamechs.2012.045498,https://doi.org/10.1504/ijamechs.2012.045498,journal-article,Crossref,1,manipulation
slip detection grasp control robot,Research on the Analyticity of SLIP Model Based on Perturbation Theory and Locomotion Control,2012,Robot,Mantian LI; Haitao YU; Wei GUO; Pengfei WANG; Hegao CAI,10.3724/sp.j.1218.2012.00689,https://doi.org/10.3724/sp.j.1218.2012.00689,journal-article,Crossref,1,slip
robot tactile feedback manipulation,Poster: Comparing vibro-tactile feedback modes for collision proximity feedback in USAR virtual robot teleoperation,2012,2012 IEEE Symposium on 3D User Interfaces (3DUI),P. G. de Barros; R. W. Lindeman,10.1109/3dui.2012.6184199,https://doi.org/10.1109/3dui.2012.6184199,proceedings-article,Crossref,1,tactile
robot tactile feedback manipulation,Teletaction Using a Linear Actuator Feedback‐Based Tactile Display,2012,Tactile Sensing and Displays,,10.1002/9781118357989.ch11,https://doi.org/10.1002/9781118357989.ch11,other,Crossref,1,tactile
friction estimation tactile robotics,Tactile Display Technology,2012,Tactile Sensing and Displays,,10.1002/9781118357989.ch7,https://doi.org/10.1002/9781118357989.ch7,other,Crossref,1,tactile
friction estimation tactile robotics,Grayscale Graphical Softness Tactile Display,2012,Tactile Sensing and Displays,,10.1002/9781118357989.ch8,https://doi.org/10.1002/9781118357989.ch8,other,Crossref,1,tactile
haptic sensing manipulation robot,Improving Accuracy of Local Maps with Active Haptic Sensing,2012,Lecture Notes in Control and Information Sciences,Krzysztof Walas,10.1007/978-1-4471-2343-9_11,https://doi.org/10.1007/978-1-4471-2343-9_11,book-chapter,Crossref,1,tactile
contact mechanics robotics manipulation,Mechanics and manipulation of planar elastic kinematic chains,2012,2012 IEEE International Conference on Robotics and Automation,Zoe McCarthy; Timothy Bretl,10.1109/icra.2012.6224693,https://doi.org/10.1109/icra.2012.6224693,proceedings-article,Crossref,1,manipulation
tactile servoing grasping,Position-based visual servoing through Cartesian path-planning for a grasping task,2012,"2012 IEEE International Conference on Control System, Computing and Engineering",Yacine Benbelkacem; Rosmiwati Mohd-Mokhtar,10.1109/iccsce.2012.6487180,https://doi.org/10.1109/iccsce.2012.6487180,proceedings-article,Crossref,1,manipulation
tactile servoing grasping,Combining stereo vision and fuzzy image based visual servoing for autonomous object grasping using a 6-DOF manipulator,2012,2012 IEEE International Conference on Robotics and Biomimetics (ROBIO),Le Duc Hanh; Chyi-Yeu Lin,10.1109/robio.2012.6491213,https://doi.org/10.1109/robio.2012.6491213,proceedings-article,Crossref,1,manipulation
slip state estimation robot manipulation,Using human motion estimation for human-robot cooperative manipulation,2011,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,A. Thobbi; Ye Gu; Weihua Sheng,10.1109/iros.2011.6048572,https://doi.org/10.1109/iros.2011.6048572,proceedings-article,Crossref,1,manipulation
slip state estimation robot manipulation,Using human motion estimation for human-robot cooperative manipulation,2011,2011 IEEE/RSJ International Conference on Intelligent Robots and Systems,Anand Thobbi; Ye Gu; Weihua Sheng,10.1109/iros.2011.6094904,https://doi.org/10.1109/iros.2011.6094904,proceedings-article,Crossref,1,manipulation
force tactile proprioceptive manipulation,Effects of Fusion between Tactile and Proprioceptive Inputs on Tactile Perception,2011,PLoS ONE,Jay P. Warren; Marco Santello; Stephen I. Helms Tillery,10.1371/journal.pone.0018073,https://doi.org/10.1371/journal.pone.0018073,journal-article,Crossref,1,tactile
force tactile proprioceptive manipulation,"The Impact of Stochastic and Deterministic Sounds on Visual, Tactile and Proprioceptive Modalities",2011,Advances in Sound Localization,J.E. Lugo; R. Doti; J. Faubert,10.5772/14296,https://doi.org/10.5772/14296,book-chapter,Crossref,1,tactile
slip detection grasp control robot,Compliant Grasp Strategy for Three-fingered Space Robot End-effector,2011,ROBOT,Qingli ZHANG; Fenglei NI; Yingyuan ZHU; Jin DANG; Hong LIU,10.3724/sp.j.1218.2011.00427,https://doi.org/10.3724/sp.j.1218.2011.00427,journal-article,Crossref,1,manipulation
slip detection grasp control robot,A Configuration Control with Slip Angle Compensation of a Mobile Robot,2011,"Artificial Intelligence and Applications / 718: Modelling, Identification, and Control",Augie Widyotriatmo; Keum-Shik Hong,10.2316/p.2011.718-036,https://doi.org/10.2316/p.2011.718-036,proceedings-article,Crossref,1,slip
robot grasp tactile sensing,Tactile sensing,2011,Proceedings of the 6th international conference on Human-robot interaction,Markus Fritzsche; Norbert Elkmann; Erik Schulenburg,10.1145/1957656.1957700,https://doi.org/10.1145/1957656.1957700,proceedings-article,Crossref,1,tactile
robot grasp tactile sensing,"The life of icub, a little humanoid robot learning from humans through tactile sensing",2011,Proceedings of the 6th international conference on Human-robot interaction,Eric Sauser; Brenna Argall; Aude Billard,10.1145/1957656.1957798,https://doi.org/10.1145/1957656.1957798,proceedings-article,Crossref,1,tactile
robot grasp tactile sensing,Humanoid Multimodal Tactile-Sensing Modules,2011,IEEE Transactions on Robotics,P Mittendorfer; G Cheng,10.1109/tro.2011.2106330,https://doi.org/10.1109/tro.2011.2106330,journal-article,Crossref,1,tactile
robot tactile feedback manipulation,Policy adaptation with tactile feedback,2011,Proceedings of the 6th international conference on Human-robot interaction,Brenna D. Argall; Eric L. Sauser; Aude G. Billard,10.1145/1957656.1957684,https://doi.org/10.1145/1957656.1957684,proceedings-article,Crossref,1,tactile
robot compliance estimation contact,Estimation mechanism of contact information for a soft robot,2011,2011 IEEE International Conference on Robotics and Biomimetics,Takashi Takuma; Ken Takamine; Tatsuya Masuda,10.1109/robio.2011.6181564,https://doi.org/10.1109/robio.2011.6181564,proceedings-article,Crossref,1,contact
haptic sensing manipulation robot,Haptic human - robot collaboration,2011,2011 IEEE World Haptics Conference,M. Buss,10.1109/whc.2011.5945447,https://doi.org/10.1109/whc.2011.5945447,proceedings-article,Crossref,1,tactile
tactile object recognition manipulation,A spiking neural network for tactile form based object recognition,2011,The 2011 International Joint Conference on Neural Networks,Sivalogeswaran Ratnasingam; T.M. McGinnity,10.1109/ijcnn.2011.6033314,https://doi.org/10.1109/ijcnn.2011.6033314,proceedings-article,Crossref,1,tactile
tactile object recognition manipulation,Object recognition based on tactile form perception,2011,2011 IEEE Workshop on Robotic Intelligence In Informationally Structured Space,Sivalogeswaran Ratnasingam; T. M. McGinnity,10.1109/riiss.2011.5945777,https://doi.org/10.1109/riiss.2011.5945777,proceedings-article,Crossref,1,tactile
tactile object recognition manipulation,"Object mapping, recognition, and localization from tactile geometry",2011,2011 IEEE International Conference on Robotics and Automation,Zachary Pezzementi; Caitlin Reyda; Gregory D. Hager,10.1109/icra.2011.5980363,https://doi.org/10.1109/icra.2011.5980363,proceedings-article,Crossref,1,tactile
slip prediction robotic grasping,Robotic Grasping of Unknown Objects,2011,Robot Arms,Mario Richtsfeld; Markus Vincze,10.5772/16799,https://doi.org/10.5772/16799,book-chapter,Crossref,1,manipulation
slip state estimation robot manipulation,Methods for Wheel Slip and Sinkage Estimation in Mobile Robots,2010,Robot Localization and Map Building,Giulio Reina,10.5772/9279,https://doi.org/10.5772/9279,book-chapter,Crossref,1,slip
slip detection grasp control robot,Control Law Synthesis for Slip Reduction of Wheeled Robot,2010,CISM International Centre for Mechanical Sciences,Teresa Zielinska; Andrzej Chmielniak,10.1007/978-3-7091-0277-0_40,https://doi.org/10.1007/978-3-7091-0277-0_40,book-chapter,Crossref,1,slip
robotic hand slip estimation tactile,Slip estimation for small-scale robotic tracked vehicles,2010,Proceedings of the 2010 American Control Conference,T M Dar; R G Longoria,10.1109/acc.2010.5531638,https://doi.org/10.1109/acc.2010.5531638,proceedings-article,Crossref,1,slip
robot grasp tactile sensing,Walking on the slopes with tactile sensing system for humanoid robot,2010,ICCAS 2010,Kitti Suwanratchatamanee; Mitsuharu Matsumoto; Shuji Hashimoto,10.1109/iccas.2010.5670181,https://doi.org/10.1109/iccas.2010.5670181,proceedings-article,Crossref,1,tactile
robot grasp tactile sensing,Tactile sensing: Steps to artificial somatosensory maps,2010,19th International Symposium in Robot and Human Interactive Communication,Giorgio Cannata; Simone Denei; Fulvio Mastrogiovanni,10.1109/roman.2010.5598697,https://doi.org/10.1109/roman.2010.5598697,proceedings-article,Crossref,1,tactile
force control contact estimation robot,Adaptive force control of robot arm with estimation of environmental stiffness,2010,2010 International Symposium on Micro-NanoMechatronics and Human Science,Hiroyuki Wakamatsu; Motoomi Yamanoi; Kyoichi Tatsuno,10.1109/mhs.2010.5669556,https://doi.org/10.1109/mhs.2010.5669556,proceedings-article,Crossref,1,contact
haptic sensing manipulation robot,Human-robot interaction via haptic device,2010,2010 IEEE International Symposium on Haptic Audio Visual Environments and Games,Huanran Wang; Xiaoping P. Liu,10.1109/have.2010.5623983,https://doi.org/10.1109/have.2010.5623983,proceedings-article,Crossref,1,tactile
tactile servoing grasping,An autonomous mobile grasping system using visual servoing and nonlinear model predictive control,2010,IEEE ICCA 2010,Ying Wang; Haoxiang Lang; W. de Silva Clarence,10.1109/icca.2010.5524177,https://doi.org/10.1109/icca.2010.5524177,proceedings-article,Crossref,1,manipulation
slip state estimation robot manipulation,Second-order optimal estimation of slip state for a simple slip-steered vehicle,2009,2009 IEEE International Conference on Automation Science and Engineering,T. M. Caldwell; T. D. Murphey,10.1109/coase.2009.5234155,https://doi.org/10.1109/coase.2009.5234155,proceedings-article,Crossref,1,slip
object pose contact state estimation manipulation,State of the Art in Object Recognition and Pose Estimation,2009,Cognitive Systems Monographs,Pedram Azad,10.1007/978-3-642-04229-4_2,https://doi.org/10.1007/978-3-642-04229-4_2,book-chapter,Crossref,1,dynamics
object pose contact state estimation manipulation,Stereo-Based Object Recognition and Pose Estimation System,2009,Cognitive Systems Monographs,Pedram Azad,10.1007/978-3-642-04229-4_6,https://doi.org/10.1007/978-3-642-04229-4_6,book-chapter,Crossref,1,dynamics
slip detection grasp control robot,Grasp and Transport Control of a Chopsticks-Type Robot,2009,"2009 Fourth International Conference on Innovative Computing, Information and Control (ICICIC)",Yojiro Yamasaki; Toru Tsumugiwa; Ryuichi Yokogawa,10.1109/icicic.2009.226,https://doi.org/10.1109/icicic.2009.226,proceedings-article,Crossref,1,manipulation
haptic sensing manipulation robot,Balance control of robot and human-robot interaction with haptic sensing foots,2009,2009 2nd Conference on Human System Interactions,Kitti Suwanratchatamanee; Mitsuharu Matsumoto; Shuji Hashimoto,10.1109/hsi.2009.5090956,https://doi.org/10.1109/hsi.2009.5090956,proceedings-article,Crossref,1,tactile
haptic sensing manipulation robot,Industrial Haptic Robot Guidance System for assembly processes,2009,2009 IEEE International Workshop on Haptic Audio visual Environments and Games,Marwan Radi; Gunther Reinhart,10.1109/have.2009.5356135,https://doi.org/10.1109/have.2009.5356135,proceedings-article,Crossref,1,tactile
slip prediction robotic grasping,Robotic Grasping of Unknown Objects,2009,Contemporary Robotics - Challenges and Solutions,Mario Richtsfeld; Markus Vincze,10.5772/7805,https://doi.org/10.5772/7805,book-chapter,Crossref,1,manipulation
slip state estimation robot manipulation,Experimental slip estimation for exact kinematics modeling and control of a Tracked Mobile Robot,2008,2008 IEEE/RSJ International Conference on Intelligent Robots and Systems,S.A.A. Moosavian; A. Kalantari,10.1109/iros.2008.4650798,https://doi.org/10.1109/iros.2008.4650798,proceedings-article,Crossref,1,slip
object pose contact state estimation manipulation,Appearance based object pose estimation using regression models,2008,2008 SICE Annual Conference,Mamoru Saito; Katsuhisa Kitaguchi,10.1109/sice.2008.4654976,https://doi.org/10.1109/sice.2008.4654976,proceedings-article,Crossref,1,dynamics
robot tactile feedback manipulation,OBJECT EXPLORATION WITH A HUMANOID ROBOT - Using Tactile and Kinesthetic Feedback,2008,"Proceedings of the Fifth International Conference on Informatics in Control, Automation and Robotics Service",,10.5220/0001502702740281,https://doi.org/10.5220/0001502702740281,proceedings-article,Crossref,1,tactile
robot tactile feedback manipulation,Opening a door with a humanoid robot using multi-sensory tactile feedback,2008,2008 IEEE International Conference on Robotics and Automation,Andreas J. Schmid; Nicolas Gorges; Dirk Goger; Heinz Worn,10.1109/robot.2008.4543222,https://doi.org/10.1109/robot.2008.4543222,proceedings-article,Crossref,1,tactile
robot compliance estimation contact,Contact and Impact,2008,Robot Dynamics Algorithms,,10.1007/978-0-387-74315-8_11,https://doi.org/10.1007/978-0-387-74315-8_11,book-chapter,Crossref,1,contact
friction estimation tactile robotics,KAT II: Tactile Display Mouse for Providing Tactile and Thermal Feedback,2008,Advanced Robotics,Gi-Hun Yang; Dong-Soo Kwon,10.1163/156855308x314542,https://doi.org/10.1163/156855308x314542,journal-article,Crossref,1,tactile
friction estimation tactile robotics,Wavelet networks for estimation of coupled friction in robotic manipulators,2008,2008 IEEE International Conference on Robotics and Automation,Edvard Naerum; Jordi Cornella; Ole Jakob Elle,10.1109/robot.2008.4543313,https://doi.org/10.1109/robot.2008.4543313,proceedings-article,Crossref,1,dynamics
haptic sensing manipulation robot,Robot Manipulation: Sensing and Adapting to the Real World,2008,Robotics,Charles C. Kemp; Aaron Edsinger; Robert Platt; Neo Ee Sian,10.7551/mitpress/7830.003.0042,https://doi.org/10.7551/mitpress/7830.003.0042,book-chapter,Crossref,1,manipulation
tactile object recognition manipulation,Vision-Guided Robot Control for 3D Object Recognition and Manipulation,2008,Robot Manipulators,S. Q.; E. Haemmerle; Y. Cheng; P. Gamage,10.5772/6223,https://doi.org/10.5772/6223,book-chapter,Crossref,1,manipulation
force estimation robot hand,Real Time Posture Estimation of Human Hand for Robot Hand Interface,2008,2008 Second International Symposium on Universal Communication,Takanobu Tanimoto; Kiyoshi Hoshino,10.1109/isuc.2008.30,https://doi.org/10.1109/isuc.2008.30,proceedings-article,Crossref,1,manipulation
tactile servoing grasping,A Simulation Research on 3D Visual Servoing Robot Tracking and Grasping a Moving Object,2008,2008 15th International Conference on Mechatronics and Machine Vision in Practice,Wei Bing; Luo Xiang,10.1109/mmvip.2008.4749560,https://doi.org/10.1109/mmvip.2008.4749560,proceedings-article,Crossref,1,manipulation
slip state estimation robot manipulation,Affective State Estimation for Human–Robot Interaction,2007,IEEE Transactions on Robotics,Dana Kulic; Elizabeth A. Croft,10.1109/tro.2007.904899,https://doi.org/10.1109/tro.2007.904899,journal-article,Crossref,1,state
dexterous grasp pose estimation,An Introduction to Model-Based Pose Estimation and 3-D Tracking Techniques,2007,Scene Reconstruction Pose Estimation and Tracking,Christophe Doignon,10.5772/4943,https://doi.org/10.5772/4943,book-chapter,Crossref,1,dynamics
robot compliance estimation contact,Probabilistic Estimation of Whole Body Contacts for Multi-Contact Robot Control,2007,Proceedings 2007 IEEE International Conference on Robotics and Automation,Anna Petrovskaya; Jaeheung Park; Oussama Khatib,10.1109/robot.2007.363047,https://doi.org/10.1109/robot.2007.363047,proceedings-article,Crossref,1,contact
robot hand object pose force sensing,Force sensing,2007,Industrial Robot: An International Journal,David Sanders,10.1108/ir.2007.04934caa.002,https://doi.org/10.1108/ir.2007.04934caa.002,journal-article,Crossref,1,contact
robot hand object pose force sensing,Web sites Force sensing,2007,Industrial Robot: An International Journal,,10.1108/ir.2007.04934cag.001,https://doi.org/10.1108/ir.2007.04934cag.001,journal-article,Crossref,1,contact
slip prediction robotic grasping,Dynamic Stability of Grasping/Fixturing,2007,Series on Manufacturing Systems and Technology,,10.1142/9789812771841_0008,https://doi.org/10.1142/9789812771841_0008,book-chapter,Crossref,1,manipulation
slip prediction robotic grasping,Qualitative Analysis and Quantitative Evaluation of Form-Closure Grasping/Fixturing,2007,Series on Manufacturing Systems and Technology,,10.1142/9789812771841_0002,https://doi.org/10.1142/9789812771841_0002,book-chapter,Crossref,1,manipulation
slip prediction robotic grasping,Robotic Grasp and Workpiece-Fixture Systems,2007,Series on Manufacturing Systems and Technology,,10.1142/9789812771841_0001,https://doi.org/10.1142/9789812771841_0001,book-chapter,Crossref,1,manipulation
tactile servoing grasping,A Real-time Stereo Visual Servoing for Moving Object Grasping Based Parallel Algorithms,2007,2007 2nd IEEE Conference on Industrial Electronics and Applications,Li Ge; zhao Jie,10.1109/iciea.2007.4318941,https://doi.org/10.1109/iciea.2007.4318941,proceedings-article,Crossref,1,manipulation
robot compliance estimation contact,Traction Control for a Rocker-Bogie Robot with Wheel-Ground Contact Angle Estimation,2006,Lecture Notes in Computer Science,Mongkol Thianwiboon; Viboon Sangveraphunsiri,10.1007/11780519_69,https://doi.org/10.1007/11780519_69,book-chapter,Crossref,1,contact
robot compliance estimation contact,Contact impedance estimation for robotic systems,2005,IEEE Transactions on Robotics,N. Diolaiti; C. Melchiorri; S. Stramigioli,10.1109/tro.2005.852261,https://doi.org/10.1109/tro.2005.852261,journal-article,Crossref,1,contact
slip prediction robotic grasping,Grasping determination experiments within the UJI robotics telelab,2005,Journal of Robotic Systems,Raul Marín; Pedro J. Sanz,10.1002/rob.20060,https://doi.org/10.1002/rob.20060,journal-article,Crossref,1,manipulation
robot grasp tactile sensing,Robot Tactile Sensing,2004,Industrial Electronics,R Andrew Russell,10.1201/9781420036336.ch74,https://doi.org/10.1201/9781420036336.ch74,book-chapter,Crossref,1,tactile
robot tactile feedback manipulation,"Tactile feedback and display system for CT-guided, robot-assisted percutaneous procedures",2004,International Congress Series,Jeffrey Yanof; Christopher Bauer; Bradford Wood,10.1016/j.ics.2004.03.176,https://doi.org/10.1016/j.ics.2004.03.176,journal-article,Crossref,1,tactile
